seq_len,Triton,Torch,torch_jit,cuda
256.0,137.7,48.8,175.0,182.9
384.0,161.7,55.6,214.8,219.1
512.0,165.8,59.4,215.0,231.4
640.0,153.3,61.6,233.2,239.3
768.0,135.3,63.7,249.9,245.7
896.0,122.3,64.8,261.7,236.6
1024.0,111.6,65.7,271.3,246.7
1152.0,102.4,66.5,279.5,255.2
