seq_len,Triton,Torch,torch_jit,cuda
256.0,400.1,116.0,409.6,330.3
384.0,401.5,119.2,443.2,337.1
512.0,404.3,122.1,382.4,342.8
640.0,406.8,122.9,344.2,344.9
768.0,407.2,124.8,340.4,346.6
896.0,401.6,124.0,343.0,348.2
1024.0,393.8,125.6,339.6,348.8
1152.0,388.7,126.0,338.0,349.9
